Acadept,Degname,Major,Acad Yr,Count of OSIR
C&I,MSED,Curriculum and Instruction (MSED),2025,8
C&I,MSED,Curriculum & Instr: Curriculum & Cultural Pedagogies in Social Justice (MSED),2025,3
C&I,MSED,Literacy Education: Reading (MSED),2024,28
C&I,MSED,Literacy Education: English as a Second Language/Bilingual Education (MSED),2024,44
C&I,MSED,Literacy Education (MSED),2024,19
C&I,MSED,Curriculum and Instruction: Teacher Leader with Endorsement (MSED),2024,12
C&I,MSED,"Curriculum and Instruction: Academic Literacies, Language, and Culture (MSED)",2024,1
C&I,MSED,Curriculum and Instruction (MSED),2024,10
C&I,MSED,Curriculum & Instr: Curriculum & Cultural Pedagogies in Social Justice (MSED),2024,4
C&I,MSED,Literacy Education: Reading (MSED),2023,21
C&I,MSED,Literacy Education: English as a Second Language/Bilingual Education (MSED),2023,49
C&I,MSED,Literacy Education (MSED),2023,19
C&I,MSED,Curriculum and Instruction: Teacher Leader with Endorsement (MSED),2023,12
C&I,MSED,Curriculum and Instruction (MSED),2023,4
C&I,MSED,Curriculum & Instr: Curriculum & Cultural Pedagogies in Social Justice (MSED),2023,5
C&I,MSED,Literacy Education: Reading (MSED),2022,17
C&I,MSED,Literacy Education: English as a Second Language/Bilingual Education (MSED),2022,47
C&I,MSED,Literacy Education (MSED),2022,15
C&I,MSED,Curriculum and Instruction: Teacher Leader with Endorsement (MSED),2022,12
C&I,MSED,Curriculum and Instruction (MSED),2022,5
C&I,MSED,Curriculum & Instr: Curriculum & Cultural Pedagogies in Social Justice (MSED),2022,5
C&I,MSED,Literacy Education: Reading (MSED),2021,4
C&I,MSED,Literacy Education: English as a Second Language/Bilingual Education (MSED),2021,14
C&I,MSED,Literacy Education (MSED),2021,70
C&I,MSED,Curriculum and Instruction: Teacher Leader with Endorsement (MSED),2021,11
C&I,MSED,Curriculum and Instruction (MSED),2021,14
C&I,MSED,Curriculum & Instr: Curriculum & Cultural Pedagogies in Social Justice (MSED),2021,6
C&I,MSED,Literacy Education: English as a Second Language/Bilingual Education (MSED),2020,3
C&I,MSED,Literacy Education (MSED),2020,86
C&I,MSED,Curriculum and Instruction: Teacher Leader with Endorsement (MSED),2020,2
C&I,MSED,Curriculum and Instruction (MSED),2020,30
C&I,MSED,Curriculum & Instr: Curriculum & Cultural Pedagogies in Social Justice (MSED),2020,2
C&I,MSED,Literacy Education (MSED),2019,84
C&I,MSED,Curriculum and Instruction (MSED),2019,30
C&I,MSED,Literacy Education (MSED),2018,108
C&I,MSED,Curriculum and Instruction (MSED),2018,18
C&I,MSED,Literacy Education (MSED),2017,116
C&I,MSED,Elementary Education (MSED),2017,4
C&I,MSED,Curriculum and Instruction (MSED),2017,20
C&I,MSED,Literacy Education (MSED),2016,158
C&I,MSED,Elementary Education (MSED),2016,5
C&I,MSED,Curriculum and Instruction (MSED),2016,21
CAHE,EDD,Higher Education: Community College Leadership (EDD),2025,46
CAHE,EDD,Higher Education: College Teaching (EDD),2025,6
CAHE,EDD,Higher Education-Higher Education Administration (EDD),2025,62
CAHE,EDD,Higher Education (EDD),2025,12
CAHE,EDD,Adult Continuing Education (EDD),2025,1
CAHE,EDD,Higher Education: Community College Leadership (EDD),2024,46
CAHE,EDD,Higher Education: College Teaching (EDD),2024,9
CAHE,EDD,Higher Education-Higher Education Administration (EDD),2024,56
CAHE,EDD,Higher Education (EDD),2024,14
CAHE,EDD,Higher Education: Community College Leadership (EDD),2023,44
CAHE,EDD,Higher Education: College Teaching (EDD),2023,13
CAHE,EDD,Higher Education-Higher Education Administration (EDD),2023,51
CAHE,EDD,Higher Education (EDD),2023,17
CAHE,EDD,Higher Education: Community College Leadership (EDD),2022,48
CAHE,EDD,Higher Education: College Teaching (EDD),2022,10
CAHE,EDD,Higher Education-Higher Education Administration (EDD),2022,39
CAHE,EDD,Higher Education (EDD),2022,30
CAHE,EDD,Adult Continuing Education (EDD),2022,1
CAHE,EDD,Higher Education: Community College Leadership (EDD),2021,54
CAHE,EDD,Higher Education: College Teaching (EDD),2021,6
CAHE,EDD,Higher Education-Higher Education Administration (EDD),2021,29
CAHE,EDD,Higher Education (EDD),2021,46
CAHE,EDD,Higher Education: Community College Leadership (EDD),2020,53
CAHE,EDD,Higher Education: College Teaching (EDD),2020,5
CAHE,EDD,Higher Education-Higher Education Administration (EDD),2020,20
CAHE,EDD,Higher Education (EDD),2020,70
CAHE,EDD,Higher Education: Community College Leadership (EDD),2019,62
CAHE,EDD,Higher Education (EDD),2019,82
CAHE,EDD,Adult Continuing Education (EDD),2019,1
CAHE,EDD,Higher Education: Community College Leadership (EDD),2018,52
CAHE,EDD,Higher Education (EDD),2018,85
CAHE,EDD,Counselor Education and Supervision (EDD),2018,1
CAHE,EDD,Adult Continuing Education (EDD),2018,1
CAHE,EDD,Higher Education (EDD),2017,119
CAHE,EDD,Counselor Education and Supervision (EDD),2017,1
